"BodyPart","InjuryID","Name","Number","Opponent","PlayerID","Position","Practice","PracticeDescription","Season","SeasonType","Status","Team","Updated","Week"
"Right Hip",1,"Garrett Hartley",5,"GB",418,"K","None","Did Not Participate In Practice",2011,1,"Out","NO","/Date(1374114512543-0400)/",1
"Groin",2,"Lance Moore",16,"GB",6768,"WR","None","Did Not Participate In Practice",2011,1,"Out","NO","/Date(1374114512543-0400)/",1
"Knee",3,"Adrian Arrington",87,"GB",9177,"WR","Limited","Limited Participation in Practice",2011,1,"Questionable","NO","/Date(1374114512543-0400)/",1
"Calf",4,"Tom Johnson",96,"GB",13664,"DT","Limited","Limited Participation in Practice",2011,1,"Questionable","NO","/Date(1374114512543-0400)/",1
"Ankle",5,"Davon House",31,"NO",13236,"CB","Out","Out (Definitely Will Not Play)",2011,1,"Out","GB","/Date(1374114512543-0400)/",1
"Back",6,"Vic Sooto",97,"NO",13247,"LB","Out","Out (Definitely Will Not Play)",2011,1,"Out","GB","/Date(1374114512543-0400)/",1
"Shoulder",7,"Frank Zombo",58,"NO",12195,"LB","Out","Out (Definitely Will Not Play)",2011,1,"Out","GB","/Date(1374114512543-0400)/",1
"Knee",8,"Mike Neal",96,"NO",11397,"DE","Limited","Limited Participation in Practice",2011,1,"Questionable","GB","/Date(1374114512543-0400)/",1
"Knee",9,"Chad Clifton",76,"NO",7593,"T","Full","Full Participation in Practice",2011,1,"Probable","GB","/Date(1374114512543-0400)/",1
"Hip",10,"Ryan Taylor",82,"NO",13249,"TE","Full","Full Participation in Practice",2011,1,"Probable","GB","/Date(1374114512543-0400)/",1
"Ankle",11,"Jermichael Finley",88,"NO",3671,"TE","Limited","Limited Participation in Practice",2011,1,"Probable","GB","/Date(1374114512543-0400)/",1
"Hamstring",12,"Chris Carter",54,"BAL",12891,"LB","None","Did Not Participate In Practice",2011,1,"Out","PIT","/Date(1374114512543-0400)/",1
"Hamstring",13,"Jerricho Cotchery",89,"BAL",4104,"WR","None","Did Not Participate In Practice",2011,1,"Doubtful","PIT","/Date(1374114512543-0400)/",1
"Concussion",14,"Marcus Gilbert",77,"BAL",12897,"T","Full","Full Participation in Practice",2011,1,"Probable","PIT","/Date(1374114512543-0400)/",1
"Concussion",15,"Jason Phillips",0,"PIT",11016,"LB","Full","Full Participation in Practice",2011,1,"Questionable","BAL","/Date(1374114512543-0400)/",1
"Thigh",16,"Ben Grubbs",66,"PIT",6140,"G","None","Did Not Participate In Practice",2011,1,"Probable","BAL","/Date(1374114512543-0400)/",1
"Knee",17,"Otis Hudson",60,"CLE",13522,"G","None","Did Not Participate In Practice",2011,1,"Out","CIN","/Date(1374114512543-0400)/",1
"Foot",18,"Dontay Moch",52,"CLE",12852,"LB","None","Did Not Participate In Practice",2011,1,"Out","CIN","/Date(1374114512543-0400)/",1
"Knee",19,"Taylor Mays",26,"CLE",11590,"S","None","Did Not Participate In Practice",2011,1,"Doubtful","CIN","/Date(1374114512543-0400)/",1
"Hamstring",20,"Kelly Jennings",23,"CLE",2214,"CB","Limited","Limited Participation in Practice",2011,1,"Doubtful","CIN","/Date(1374114512543-0400)/",1
"Knee",21,"Carlos Dunlap",96,"CLE",11023,"DE","Full","Full Participation in Practice",2011,1,"Probable","CIN","/Date(1374114512543-0400)/",1
"Finger",22,"Brian Leonard",40,"CLE",8438,"RB","Full","Full Participation in Practice",2011,1,"Probable","CIN","/Date(1374114512543-0400)/",1
"Hamstring",23,"Bernard Scott",28,"CLE",8455,"RB","Full","Full Participation in Practice",2011,1,"Probable","CIN","/Date(1374114512543-0400)/",1
"Ankle",24,"Titus Brown",59,"CIN",3525,"LB","None","Did Not Participate In Practice",2011,1,"Out","CLE","/Date(1374114512543-0400)/",1
"Knee",25,"Eric Hagg",27,"CIN",12872,"CB","None","Did Not Participate In Practice",2011,1,"Out","CLE","/Date(1374114512543-0400)/",1
"Ankle",26,"Tony Pashos",79,"CIN",11749,"T","Limited","Limited Participation in Practice",2011,1,"Doubtful","CLE","/Date(1374114512543-0400)/",1
"Shoulder",27,"Chris Gocong",51,"CIN",11746,"LB","Limited","Limited Participation in Practice",2011,1,"Questionable","CLE","/Date(1374114512543-0400)/",1
"Hamstring",28,"Joshua Cribbs",0,"CIN",4291,"WR","Full","Full Participation in Practice",2011,1,"Probable","CLE","/Date(1374114512543-0400)/",1
"Foot",29,"Mohamed Massaquoi",11,"CIN",8487,"WR","Full","Full Participation in Practice",2011,1,"Probable","CLE","/Date(1374114512543-0400)/",1
"Finger",30,"Carlton Mitchell",18,"CIN",11049,"WR","Full","Full Participation in Practice",2011,1,"Probable","CLE","/Date(1374114512543-0400)/",1
"Knee",31,"Jason Pinkston",62,"CIN",12878,"T","Full","Full Participation in Practice",2011,1,"Probable","CLE","/Date(1374114512543-0400)/",1
"Hamstring",32,"T.J. Ward",43,"CIN",11054,"S","Full","Full Participation in Practice",2011,1,"Probable","CLE","/Date(1374114512543-0400)/",1
"Hip",33,"Benjamin Watson",82,"CIN",11756,"TE","Full","Full Participation in Practice",2011,1,"Probable","CLE","/Date(1374114512543-0400)/",1
"Hamstring",34,"Usama Young",28,"CIN",364,"S","Full","Full Participation in Practice",2011,1,"Probable","CLE","/Date(1374114512543-0400)/",1
"Not Injury Related",35,"Gary Brackett",58,"HOU",5850,"LB","None","Did Not Participate In Practice",2011,1,"--","IND","/Date(1374114512543-0400)/",1
"Neck",36,"Peyton Manning",18,"HOU",7328,"QB","Out","Out (Definitely Will Not Play)",2011,1,"Out","IND","/Date(1374114512543-0400)/",1
"Foot",37,"Drake Nevis",94,"HOU",12973,"DT","None","Did Not Participate In Practice",2011,1,"Questionable","IND","/Date(1374114512543-0400)/",1
"Hamstring",38,"Antoine Bethea",41,"HOU",2379,"S","Full","Full Participation in Practice",2011,1,"Questionable","IND","/Date(1374114512543-0400)/",1
"Foot",39,"Austin Collie",17,"HOU",8606,"WR","Full","Full Participation in Practice",2011,1,"Questionable","IND","/Date(1374114512543-0400)/",1
"Hamstring",40,"Anthony Gonzalez",11,"HOU",1035,"WR","Limited","Limited Participation in Practice",2011,1,"Questionable","IND","/Date(1374114512543-0400)/",1
"Back",41,"Blair White",15,"HOU",11150,"WR","Limited","Limited Participation in Practice",2011,1,"Questionable","IND","/Date(1374114512543-0400)/",1
"Shoulder",42,"Rashad Carmichael",0,"IND",12936,"CB","None","Did Not Participate In Practice",2011,1,"Out","HOU","/Date(1374114512543-0400)/",1
"Hamstring",43,"Arian Foster",23,"IND",11792,"RB","None","Did Not Participate In Practice",2011,1,"Questionable","HOU","/Date(1374114512543-0400)/",1
"Ankle",44,"Antoine Caldwell",62,"IND",8568,"G","Full","Full Participation in Practice",2011,1,"Probable","HOU","/Date(1374114512543-0400)/",1
"Knee",45,"Earl Mitchell",92,"IND",11108,"DT","Full","Full Participation in Practice",2011,1,"Probable","HOU","/Date(1374114512543-0400)/",1
